Len	Insertion	Heap sort	Merge sort	Quick sort
100	13891	12618	11036	8293
200	52998	29013	24986	19073
300	113309	45691	39176	30634
400	229754	69927	59869	46959
500	318711	86244	72145	56432
600	450522	103161	88184	69050
700	604173	125422	105024	83244
800	869843	152509	129010	101467
900	977582	162478	136532	108693
1000	1206720	186264	155536	126476
1100	1586943	213239	184554	147464
1200	1640310	214624	182560	143161
1300	1901352	232241	196643	155585
1400	2196884	252551	215685	166829
1500	2653473	283198	238719	190690
1600	2879194	297656	250231	194952
1700	3257441	312420	269315	211663
1800	3638387	339044	285223	224334
1900	4029648	359975	301963	238023
2000	4530832	385911	323522	251706
2100	4974916	402310	338772	269500
2200	5418782	430044	356995	280468
2300	5923300	450509	376017	296982
2400	6474004	481171	394977	310023
2500	6983948	493400	411603	324968
2600	7629856	504414	430773	338465
2700	8124558	531505	449651	350884
2800	8704151	557699	467030	367752
2900	9429855	592820	489217	385900
3000	9991810	611269	505077	410321
3100	10709328	629234	524706	419497
3200	11376080	653103	544169	441507
3300	12112387	666702	566166	455997
3400	12836740	694774	585392	469067
3500	13594482	709295	598342	481701
3600	14381103	752101	617325	493758
3700	15155816	746833	635628	505765
3800	16019831	795828	659614	530642
3900	16874192	826611	676182	530489
4000	17715622	843044	691462	544293
4100	18685162	869857	710269	561470
4200	19549420	893044	730736	578444
4300	20536079	917620	755789	612990
4400	21557749	965410	779288	624986
4500	22425967	971121	791464	623389
4600	23346548	989540	807045	632234
4700	24417617	1038304	830117	672188
4800	25667235	1027433	860948	688644
4900	26853440	1057600	872709	683029
5000	27885700	1121939	897837	722513
5100	28910574	1124384	917586	737783
5200	29914427	1144573	937404	751611
5300	31120952	1190753	956354	753847
5400	32441422	1186194	988742	803425
5500	33612543	1224186	1009227	811107
5600	34634426	1265456	1020200	814460
5700	35921802	1276765	1040597	831833
5800	37160497	1299316	1062794	841997
5900	38589248	1306838	1092292	883812
6000	39725970	1340484	1088167	853245
6100	41407590	1372704	1112455	878838
6200	42432049	1410905	1127072	907151
6300	43757146	1462494	1151089	908041
6400	45205284	1436431	1171706	923762
6500	46633533	1480079	1195897	958593
6600	48268004	1519521	1216221	983096
6700	49806332	1505863	1242807	1020481
6800	51622006	1557716	1277575	1036093
6900	53198360	1583153	1295749	1043646
7000	54565560	1663184	1314994	1062336
7100	55940370	1641652	1318990	1064848
7200	58087144	1678887	1348862	1067734
7300	59349430	1706643	1373753	1094536
7400	60637156	1726651	1383086	1108087
7500	62554287	1790078	1406573	1116469
7600	64237901	1779411	1425712	1121962
7700	65846086	1806595	1456823	1129250
7800	67562824	1877450	1504251	1139802
7900	69333557	1893557	1488826	1153563
8000	71170107	1908238	1508160	1176941
8100	72464270	1882434	1528292	1197743
8200	74389618	1853079	1536772	1210708
8300	76146190	1935935	1592833	1223580
8400	77989588	1996923	1586168	1230275
8500	80371314	2070276	1620767	1262532
8600	81807438	2005302	1629138	1276681
8700	84056565	2017224	1698181	1302882
8800	88716365	2152804	1773336	1364153
8900	89826633	2199145	1729431	1358866
9000	94551423	2217079	1824805	1440397
9100	93548373	2168955	1750494	1475495
9200	93849367	2171980	1804966	1462366
9300	99180214	2308413	1843718	1496954
9400	102336318	2376949	1888913	1560036
9500	102073943	2366543	1848488	1523858
9600	101545592	2290189	1885340	1540072
9700	103516829	2371325	1842523	1525391
9800	106262004	2358881	1905202	1554236
9900	108274547	2425282	1904165	1551341
