Len	Insertion	Heap sort	Merge sort	Quick sort
100	16186	7793	7263	4781
200	42251	18788	15973	9802
300	101836	33053	24288	17385
400	170999	51067	36212	30551
500	263124	58723	46069	37337
600	399714	75656	65506	54933
700	516407	100741	89879	61020
800	721762	137536	116936	83660
900	857009	142011	125733	95081
1000	1036875	170699	140835	102700
1100	1262214	182582	158635	118777
1200	1526886	201498	174509	134524
1300	1661365	218624	188303	143063
1400	2014595	248584	207322	149961
1500	2362577	282465	223284	162630
1600	2593729	296515	239023	184246
1700	2967688	304693	258470	191149
1800	3388263	324321	274179	203641
1900	3687211	350770	297271	241378
2000	4065835	365169	310351	233697
2100	4517904	387661	326049	247563
2200	4974707	408263	344970	266041
2300	5425709	461152	368224	287181
2400	5806178	448425	379703	290831
2500	6381107	506638	397643	303031
2600	6769694	539233	416313	309924
2700	7337829	518184	437209	328693
2800	8014403	588510	452383	357364
2900	8457729	557740	469768	354166
3000	9143725	641017	489818	380424
3100	9707014	605905	505426	381240
3200	10306074	622985	525177	409849
3300	11121794	703582	552149	422545
3400	11757990	687137	567463	457133
3500	12726676	735637	583100	474891
3600	13211081	752045	608115	484692
3700	13868853	810207	634591	502278
3800	15234841	829017	656572	520117
3900	16238644	818254	687499	523196
4000	16483912	835277	711105	530147
4100	17870701	858151	722461	548217
4200	18547104	883591	728482	568416
4300	18718600	892066	737229	602531
4400	19674298	958882	764341	587435
4500	20419225	963686	786236	581840
4600	21480393	988311	806004	636932
4700	22357653	1042674	825562	635412
4800	23188434	1004995	838323	666810
4900	24859530	1052187	877644	656490
5000	25467492	1069388	883560	671899
5100	25743948	1190824	923222	702087
5200	27179712	1212984	934521	743324
5300	28998847	1156112	955267	745933
5400	30381465	1208035	996538	771741
5500	31958051	1274876	1019858	769444
5600	31978011	1220457	1021777	800206
5700	32945956	1355277	1037337	798077
5800	34208172	1334099	1057264	840439
5900	35589201	1334642	1072877	860976
6000	36857116	1339501	1120777	847054
6100	37702197	1382707	1134682	889521
6200	41070142	1383047	1160651	886705
6300	41853487	1428429	1184548	906070
6400	43211660	1454922	1202316	900027
6500	42959114	1472446	1187680	931263
6600	45794289	1607030	1227787	978192
6700	45670271	1501545	1224199	918252
6800	47606837	1668912	1260756	1017895
6900	48771673	1565815	1285662	1048992
7000	50741349	1631347	1292181	1080168
7100	52185116	1660112	1306664	1021507
7200	53388498	1744877	1347472	1033886
7300	55770084	1705284	1376482	1047175
7400	57612338	1714837	1418465	1148089
7500	56879097	1789489	1433182	1156146
7600	60280497	1732386	1426501	1202923
7700	62707457	1879421	1459182	1145697
7800	65275622	1879699	1483367	1262565
7900	66238537	1948759	1502117	1183318
8000	72015872	1897475	1558887	1247634
8100	73474266	1950506	1579805	1269495
8200	74470321	1950334	1611043	1212965
8300	75180712	1937736	1596721	1295441
8400	76861413	2095707	1641294	1295491
8500	78957445	2010250	1632058	1257258
8600	84104754	2089865	1706569	1339501
8700	81715621	2109072	1680797	1325919
8800	85424656	2145876	1716729	1357987
8900	89393308	2191326	1798170	1383981
9000	90441457	2290647	1788945	1415177
9100	89814990	2157428	1799557	1388565
9200	93385875	2245488	1812598	1506395
9300	96776677	2423704	1849578	1485381
9400	99104307	2348982	1887238	1459070
9500	96679651	2424667	1861103	1511724
9600	99340055	2422105	1871190	1536127
9700	99999040	2389299	1929058	1462691
9800	104236571	2490977	1937472	1513878
9900	104571848	2340814	1944462	1563271
