Len	Insertion	Heap sort	Merge sort	Quick sort
50	3933	5065	4895	3526
100	13590	11430	10350	7784
150	27525	18560	16439	12364
200	48647	26205	23272	17697
250	75174	34366	30287	23161
300	107869	42745	37513	28769
350	145634	51206	44819	34949
400	194637	62650	54140	42211
450	241452	71085	61042	47363
500	292348	79128	67470	52076
550	356538	88224	76468	59258
600	422083	98746	83901	64803
650	491865	107226	91279	70974
700	567807	115318	99730	77790
750	660169	126646	107608	84358
800	733231	133187	114832	90240
850	822320	142957	123627	95750
900	953802	154813	132777	105625
950	1039939	164768	141164	109937
